City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hermanus,11,ZA,1555978570,84,-34.42,19.24,18.33,4.47
Ushuaia,40,AR,1555977600,70,-54.81,-68.31,7,9.8
Bambous Virieux,40,MU,1555979042,88,-20.34,57.76,25,2.6
Mahebourg,40,MU,1555979042,88,-20.41,57.7,25,2.6
Codrington,75,AU,1555979142,73,-28.95,153.24,25,1.5
Georgetown,20,GY,1555977600,74,6.8,-58.16,28,3.1
,,,,,,,,
Hithadhoo,92,MV,1555979216,79,-0.6,73.08,28.9,5.32
Yaransk,64,RU,1555979676,77,57.3,47.88,5.64,2.85
Lekoni,92,GA,1555979676,66,-1.58,14.26,24.86,0.4
Punta Arenas,75,CL,1555978988,75,-53.16,-70.91,6,6.2
Isangel,75,VU,1555977600,74,-19.55,169.27,29,4.6
Arraial do Cabo,20,BR,1555974000,100,-22.97,-42.02,25,0.5
Conceicao da Barra,1,BR,1555979423,91,-18.59,-39.73,23.85,1.84
Bluff,47,AU,1555979351,60,-23.58,149.07,25.92,8.35
Kahului,40,US,1555979401,45,20.89,-156.47,30,8.7
San Patricio,14,PY,1555979676,78,-26.98,-56.83,22.14,3.75
Mataura,40,NZ,1555978805,92,-46.19,168.86,13.89,1.98
Hobart,0,AU,1555979240,58,-42.88,147.33,15.56,5.1
Rikitea,62,PF,1555979352,83,-23.12,-134.97,26.29,6.33
Lebu,75,ET,1555977600,87,8.96,38.73,15,1.5
Chuy,93,UY,1555979379,66,-33.69,-53.46,16.11,5.06
Guarapari,75,BR,1555978769,83,-20.67,-40.5,27,4.1
Vao,67,EE,1555979415,65,59.1,26.19,7.84,2
Bredasdorp,45,ZA,1555978570,82,-34.53,20.04,18,5.1
Sistranda,0,NO,1555979220,81,63.73,8.83,9.44,6.2
Nikolskoye,0,RU,1555979347,53,59.7,30.79,10.56,4
Kasempa,90,ZM,1555979677,93,-13.46,25.83,17.86,1.74
,,,,,,,,
Saint-Philippe,20,CA,1555979375,55,45.36,-73.48,15,5.1
,,,,,,,,
Khatanga,100,RU,1555979397,90,71.98,102.47,-6.26,4.42
Tuktoyaktuk,40,CA,1555977600,85,69.44,-133.03,-6,14.4
Port Alfred,100,ZA,1555979270,93,-33.59,26.89,17.22,1.34
Lamont,20,CA,1555979643,58,53.76,-112.78,16.11,7.7
Manokwari,50,ID,1555979572,61,-0.87,134.08,27.35,1.31
Atuona,5,PF,1555979357,76,-9.8,-139.03,28.83,8.08
Talnakh,75,RU,1555977600,100,69.49,88.39,-1,10
Kuytun,9,RU,1555979678,48,54.34,101.51,-1.02,2.09
Nago,75,IT,1555979643,82,45.88,10.89,15,8.2
,,,,,,,,
Balvi,24,LV,1555979678,69,57.13,27.27,7.64,1.34
Ardabil,90,IR,1555977180,92,38.25,48.3,-2,4.1
Havoysund,75,NO,1555977000,86,71,24.66,4,7.2
,,,,,,,,
Kapaa,40,US,1555979301,65,22.08,-159.32,27,5.7
Cidreira,87,BR,1555979432,65,-30.17,-50.22,19.74,3.01
Ixtapa,75,MX,1555979436,74,20.71,-105.21,26,5.1
,,,,,,,,
Ulladulla,75,AU,1555979411,77,-35.36,150.48,21.67,5.1
Heze,0,CN,1555979679,82,35.25,115.45,18.51,2.61
,,,,,,,,
Leninskoye,1,RU,1555977600,73,54.82,82.85,-4,1.15
Carnarvon,54,ZA,1555979357,73,-30.97,22.13,10.72,8.71
Cape Town,20,ZA,1555979223,68,-33.93,18.42,18.33,9.8
Buckeye,1,US,1555979544,11,33.37,-112.58,30.56,2.6
Busselton,68,AU,1555979261,79,-33.64,115.35,14.44,5.18
Hofn,100,IS,1555979374,96,64.25,-15.21,-2.3,1.75
Saskylakh,44,RU,1555979372,90,71.97,114.09,-9.66,5.62
Saint-Leu,90,RE,1555979466,69,-21.15,55.28,26,2.6
Diffa,47,NE,1555979680,10,13.32,12.61,31.63,6.52
Batagay,0,RU,1555979652,58,67.65,134.64,-2.1,2.17
Avarua,100,CK,1555977600,61,-21.21,-159.78,26,5.1
Cockburn Town,1,TC,1555979359,78,21.46,-71.14,25.81,5.69
Sur,0,OM,1555979423,39,22.57,59.53,29.55,3.45
Pangnirtung,66,CA,1555979419,99,66.15,-65.72,-26.46,1.03
Taseyevo,91,RU,1555979680,80,57.22,94.9,-1.12,2.33
Faanui,98,PF,1555979093,72,-16.48,-151.75,29.5,4.21
Praxedis Guerrero,75,MX,1555978260,77,31.37,-106.02,17,7.2
Vaini,15,IN,1555979055,65,15.34,74.49,24.07,0.94
Riyadh,0,SA,1555974000,18,24.63,46.72,15,2.1
Proletarsk,5,RU,1555979680,55,46.7,41.72,6.35,1.48
Kruisfontein,100,ZA,1555979400,91,-34,24.73,15.38,4.43
Souillac,0,FR,1555979228,48,45.6,-0.6,17,5.1
Albany,75,US,1555979342,42,42.65,-73.75,19,3.1
Mildura,90,AU,1555977600,93,-34.18,142.16,12,3.1
Kresna,96,BG,1555979610,52,41.72,23.16,0.56,1.34
Usinsk,99,RU,1555979681,85,66,57.56,-2.45,6.58
Vestmannaeyjar,86,IS,1555979245,71,63.44,-20.27,6.52,3.77
Saint-Pierre,0,FR,1555979524,71,48.95,4.24,15,3.1
Castro,20,CL,1555977600,93,-42.48,-73.76,7,2.6
Kattivakkam,40,IN,1555979616,74,13.22,80.32,28.89,2.74
Slave Lake,75,CA,1555977600,93,55.28,-114.77,6,2.6
Tuckahoe,1,US,1555979644,42,37.59,-77.56,19.44,0.8
,,,,,,,,
Vardo,1,US,1555979372,51,39.62,-77.74,19.44,1.5
Hamilton,40,BM,1555978583,73,32.3,-64.78,21,3.6
Arlit,10,NE,1555979398,9,18.74,7.39,27.73,2.89
Puerto Ayora,75,EC,1555978586,83,-0.74,-90.35,28,4.1
Vanimo,73,PG,1555979676,72,-2.67,141.3,28.5,1.21
Obo,91,CF,1555979682,85,5.39,26.49,22.23,0.96
Saint George,90,GR,1555977000,87,39.45,22.34,12,1.11
Cayenne,65,GF,1555977600,83,4.94,-52.33,26,4.1
Talpa,0,MX,1555979656,28,28.83,-111.63,27.22,1.79
,,,,,,,,
Lambarene,100,GA,1555979683,96,-0.7,10.22,24.45,0.98
Poronaysk,27,RU,1555979683,34,49.22,143.1,8.4,2.55
Thompson,75,CA,1555977600,42,55.74,-97.86,9,1.5
Burriana,91,ES,1555979646,93,39.89,-0.08,13.33,1
Provideniya,75,RU,1555977600,85,64.42,-173.23,-6,7.75
,,,,,,,,
Burnie,1,AU,1555979524,56,-41.05,145.91,17.78,2.24
Bandrele,75,YT,1555977600,89,-12.91,45.19,29,9.3
Yellowknife,75,CA,1555977600,35,62.45,-114.38,13,5.7
Kerema,100,PG,1555979683,70,-7.96,145.78,29.25,2.63
Juarez,0,AR,1555977600,55,-38.95,-67.92,18,1
,,,,,,,,
Ancud,20,CL,1555977600,93,-41.87,-73.83,7,2.6
Acapulco,5,MX,1555977180,83,16.86,-99.88,26,3.1
Norman Wells,40,CA,1555977600,34,65.28,-126.83,12,6.7
Yumen,59,CN,1555979364,38,40.29,97.04,14.88,8.05
Mount Gambier,90,AU,1555977600,71,-37.83,140.78,14,2.1
Portland,90,US,1555979142,48,45.52,-122.67,19,3.1
Anakapalle,21,IN,1555977600,74,17.69,83,29,2.6
Ahipara,1,NZ,1555979394,100,-35.17,173.16,20,6.67
Coquimbo,0,CL,1555977600,87,-29.95,-71.34,13,1
Ribeira Grande,94,PT,1555979386,72,38.52,-28.7,14.5,6.45
Qaqortoq,97,GL,1555977000,30,60.72,-46.03,5,7.2
Price,1,US,1555979644,41,39.6,-110.81,15,4.6
Port Elizabeth,90,US,1555979062,67,39.31,-74.98,18.89,2.1
Tuatapere,35,NZ,1555978805,92,-46.13,167.69,13.89,4.81
Dikson,100,RU,1555979383,95,73.51,80.55,-6.74,12.27
Constitucion,75,MX,1555979416,10,23.99,-104.67,27,8.7
,,,,,,,,
Stromness,20,CA,1555979639,76,42.87,-79.55,15,2.6
Jamestown,0,AU,1555979356,43,-33.21,138.6,16.68,3.34
Ahuimanu,75,US,1555979389,61,21.44,-157.84,29,3.1
Lompoc,20,US,1555979361,77,34.64,-120.46,23.89,6.2
Koniz,94,CH,1555979578,81,46.92,7.41,13.89,1
Rocha,100,UY,1555979435,84,-34.48,-54.34,10.22,1.35
,,,,,,,,
Port Lincoln,100,AU,1555979351,69,-34.72,135.86,16.86,5.1
,,,,,,,,
Cherskiy,44,RU,1555979364,69,68.75,161.3,-4.4,6.03
Saint-Georges,8,CA,1555979505,75,46.12,-70.67,10.56,0.45
Leningradskiy,45,RU,1555979380,88,69.38,178.42,-13.08,3
Salalah,75,OM,1555977000,74,17.01,54.1,27,2.1
Butaritari,100,KI,1555979373,82,3.07,172.79,28.66,9.51
Northam,47,GB,1555979571,65,51.04,-4.21,15.56,1.79
,,,,,,,,
Nacala,100,MZ,1555979686,90,-14.56,40.69,22.23,3.26
La Union,32,GT,1555979439,1,14.97,-89.29,25.56,2.63
Toledo,40,PH,1555977600,66,10.38,123.64,29,4.6
Bethel,90,US,1555978140,85,60.79,-161.76,-6,5.7
Bonthe,62,SL,1555979687,79,7.53,-12.5,28.08,3.95
Boyabat,1,TR,1555979687,83,41.47,34.77,-0.34,1.56
Pastavy,0,BY,1555979687,60,55.11,26.84,7.47,1.38
Victoria,75,BN,1555977600,66,5.28,115.24,31,1.5
Qaanaaq,84,GL,1555979367,99,77.48,-69.36,-24.51,1.8
,,,,,,,,
Kodiak,90,US,1555979320,38,39.95,-94.76,18.33,6.7
North Bend,1,US,1555979504,76,43.41,-124.22,16.67,3.6
Kabinda,86,CD,1555979381,88,-6.14,24.49,20.7,1.26
,,,,,,,,
Hobyo,78,SO,1555979688,75,5.35,48.53,28.42,5.92
,,,,,,,,
Conceicao do Araguaia,100,BR,1555979460,82,-8.26,-49.26,25.3,0.54
Rio Gallegos,0,AR,1555977600,70,-51.62,-69.22,8,5.7
Guerrero Negro,21,MX,1555979420,80,27.97,-114.04,15.87,5.27
Aasiaat,100,GL,1555979688,81,68.71,-52.87,-4.3,2.16
Anchorage,90,US,1555979454,80,61.22,-149.89,2,2.6
,,,,,,,,
Karratha,98,AU,1555979433,17,-20.74,116.85,27.47,6.92
,,,,,,,,
Tasiilaq,98,GL,1555977000,79,65.61,-37.64,-2,13.9
Radhanpur,0,IN,1555979689,68,23.83,71.61,27.32,3.85
Ambon,0,FR,1555979345,67,47.55,-2.56,15,4.6
Dong Hoi,74,VN,1555979689,77,17.48,106.6,28.4,1.5
East London,100,ZA,1555979352,91,-33.02,27.91,15.52,4.29
Tessalit,0,ML,1555979689,15,20.2,1.01,28.57,3.59
Haines Junction,73,CA,1555979689,54,60.75,-137.51,3.58,7.57
Egvekinot,45,RU,1555979239,88,66.32,-179.17,-13.17,9.5
Durban,75,FR,1555979433,71,43.54,0.58,14,10.3
Kavaratti,46,IN,1555979445,75,10.57,72.64,29.13,5.45
Kaitangata,84,NZ,1555979330,72,-46.28,169.85,15.56,3.58
Ostrovnoy,80,RU,1555979394,88,68.05,39.51,1.6,5.03
Barrow,0,AR,1555979054,55,-38.31,-60.23,13.15,3.08
Kango,100,GA,1555979689,97,0.19,10.1,24.54,0.79
Faya,0,SA,1555977600,72,18.39,42.45,19,1.5
Nishihara,75,JP,1555979176,39,35.74,139.53,20.56,1.5
Sao Filipe,77,CV,1555979386,79,14.9,-24.5,21.78,8.54
Nandyal,12,IN,1555979690,48,15.47,78.48,30.19,4.09
,,,,,,,,
Nanortalik,100,GL,1555979102,74,60.14,-45.24,0.66,4.19
Venado Tuerto,69,AR,1555979649,41,-33.75,-61.97,15.56,2.19
Mar del Plata,58,AR,1555979358,42,-46.43,-67.52,13.74,4.23
Nova Olimpia,100,BR,1555979690,91,-14.8,-57.29,24.68,0.29
Buin,0,CL,1555977600,67,-33.73,-70.74,15,3.1
,,,,,,,,
Labuhan,67,ID,1555979446,74,-2.54,115.51,27.76,1.07
Mundra,0,IN,1555979690,74,22.84,69.73,25.11,5.43
Benguela,13,AO,1555979691,83,-12.58,13.4,25.68,4.48
Ponta do Sol,3,BR,1555979089,86,-20.63,-46,19.1,1.09
Hilo,20,US,1555979310,57,19.71,-155.08,27,4.6
Tezu,17,IN,1555979431,51,27.93,96.16,20.5,1.53
Pochutla,5,MX,1555978568,74,15.74,-96.47,30.56,5.1
Tahoua,30,NE,1555979691,11,14.89,5.26,31.44,2.57
Coihaique,20,CL,1555977600,70,-45.58,-72.07,8,2.1
Coahuayana,0,MX,1555979382,14,18.62,-100.35,37.8,1.74
Terrell,1,US,1555979657,60,32.74,-96.28,25,3.1
Kasongo-Lunda,98,CD,1555979691,80,-6.48,16.82,20.79,0.66
Diban,1,SY,1555979692,48,35.02,40.51,13.24,6.3
,,,,,,,,
Xixiang,20,CN,1555979659,94,22.58,113.87,28.89,2
Tiksi,7,RU,1555979359,90,71.64,128.87,-8.86,2.05
Cabo San Lucas,75,MX,1555979105,60,22.89,-109.91,26.11,6.7
,,,,,,,,
Beckley,1,US,1555979436,39,37.78,-81.19,20,3.1
Japura,93,ID,1555979444,97,-0.42,102.29,23.99,0.99
Quatre Cocos,40,MU,1555979042,88,-20.21,57.76,25,2.6
Presidencia Roque Saenz Pena,56,AR,1555979429,84,-26.79,-60.44,20.38,2.91
Cagliari,90,IT,1555979427,98,46.38,10.88,8.89,7.7
Methoni,40,GR,1555979430,62,36.82,21.7,14.44,3.6
Valls,0,ES,1555979480,93,41.28,1.25,15.56,1.19
Fortuna,0,ES,1555979316,93,38.18,-1.13,13.89,2.1
Tura,0,IN,1555979656,62,25.52,90.21,23.7,1.85
Churapcha,31,RU,1555979390,65,62,132.43,1.99,0.94
Upernavik,100,GL,1555979359,98,72.79,-56.15,-19.75,6.5
Torbay,90,CA,1555979304,100,47.66,-52.73,8.89,7.2
Nome,40,US,1555979409,64,30.04,-94.42,24,3.1
Golden,90,CA,1555977600,66,51.3,-116.96,10,2.6
Longyearbyen,40,NO,1555978800,67,78.22,15.63,-8,3.1
Baruun-Urt,100,MN,1555979693,41,46.68,113.28,3.28,5.15
Ende,53,ID,1555979693,74,-8.84,121.65,28.35,5.34
,,,,,,,,
Saravan,90,AM,1555977600,98,39.72,45.65,3,2.1
Iqaluit,75,CA,1555978962,65,63.75,-68.52,-13,3.1
Turukhansk,100,RU,1555979694,92,65.8,87.96,0.9,7.9
Terme,40,TR,1555977000,75,41.21,36.97,7.22,2.6
Nova Olinda do Norte,100,BR,1555979694,89,-3.89,-59.1,24.7,0.5
Hervey Bay,90,AU,1555979409,69,-25.3,152.85,27.78,7.7
Esperance,20,TT,1555979107,83,10.24,-61.45,26.11,3.1
Ubinskoye,32,RU,1555979585,58,55.31,79.68,1.68,3.16
Kieta,91,PG,1555979694,70,-6.22,155.63,29.43,2.61
Sorong,89,ID,1555979694,89,-0.86,131.25,27.91,2.12
,,,,,,,,
Narsaq,97,GL,1555977000,30,60.91,-46.05,5,7.2
Pevek,0,RU,1555979361,80,69.7,170.27,-11.36,2.02
Mumford,100,GH,1555979448,90,5.26,-0.76,26.14,2
Rawson,95,AR,1555979695,36,-43.3,-65.11,17.06,4.02
,,,,,,,,
Sault Sainte Marie,75,CA,1555977600,71,46.49,-84.36,11,3.6
Marawi,79,PH,1555978516,69,8,124.29,27.78,0.89
Semey,39,KZ,1555979680,54,50.41,80.25,3.37,0.24
Singkang,75,MY,1555977600,83,2.1,102.8,27,1.5
Sao Joao da Ponte,2,BR,1555979695,82,-15.93,-44.01,22.36,1.69
Yenagoa,99,NG,1555979461,93,4.92,6.26,25.23,1.62
Cacimba de Dentro,37,BR,1555979696,96,-6.64,-35.79,22.58,2.34
Sao Joao da Barra,20,BR,1555974000,88,-21.64,-41.05,26,3.6
,,,,,,,,
Te Anau,44,NZ,1555979696,47,-45.41,167.72,16.06,1.58
Windhoek,0,NA,1555977625,30,-22.57,17.08,14,2.1
Cervo,39,BR,1555979696,84,-22.19,-46.24,18.49,2.3
Maniitsoq,100,GL,1555979696,95,65.42,-52.9,-1.58,9
San Pedro,13,AR,1555979363,72,-33.68,-59.66,13.89,1.8
Hami,100,CN,1555979369,37,42.84,93.51,17.59,10.36
,,,,,,,,
Klaksvik,1,FO,1555978800,87,62.23,-6.59,8,6.7
Rio Grande,56,BR,1555979425,83,-32.03,-52.1,13.45,1.84
Katherine,0,AU,1555977600,37,-14.47,132.26,29,6.2
Moron,92,VE,1555979697,86,10.49,-68.2,23.93,1.07
Najran,5,SA,1555977600,29,17.54,44.22,26,5.1
Waipawa,100,NZ,1555977916,72,-39.94,176.59,18.33,0.96
Nainpur,0,IN,1555979697,21,22.43,80.11,27.44,0.44
Hasaki,0,JP,1555978625,59,35.73,140.83,19,1.5
Inhambane,0,MZ,1555979391,96,-23.87,35.38,20.54,1.22
Taoudenni,0,ML,1555979374,18,22.68,-3.98,25.81,4.55
Vigia del Fuerte,100,CO,1555979697,80,6.58,-76.89,24.95,0.7
Morondava,72,MG,1555979698,64,-20.3,44.28,27.82,4.67
Saint Anthony,1,US,1555979265,33,43.97,-111.68,17,2.6
Barbastro,75,ES,1555979477,87,42.04,0.13,11,0.5
,,,,,,,,
Alekseyevka,0,RU,1555977600,42,53.25,50.49,8,3
,,,,,,,,
Rorvik,14,NO,1555979398,69,64.86,11.24,9.16,6.63
Yablonovo,0,RU,1555977600,39,50.85,37.36,9,2
Warah,38,YE,1555979698,92,13.4,44.12,20.08,2.37
El Terrero,56,MX,1555979699,20,29.18,-107.39,19.02,9.8
Berlevag,100,NO,1555979699,88,70.86,29.09,4.3,4.57
Prainha,46,BR,1555979699,86,-1.8,-53.48,25.5,1.16
Shimoda,40,JP,1555977600,68,34.7,138.93,20,7.2
Sitka,100,US,1555978530,54,37.17,-99.65,18.33,5.05
Nizhniy Kuranakh,93,RU,1555979699,77,58.84,125.49,0.27,1.26
Batabano,20,CU,1555979584,64,22.72,-82.29,24,6.2
Buraydah,0,SA,1555977600,33,26.33,43.97,14,3.1
New Norfolk,0,AU,1555979355,58,-42.78,147.06,15.56,5.1
,,,,,,,,
Ginda,0,IN,1555977600,77,30.69,78.49,20,1.5
Chokurdakh,100,RU,1555979365,93,70.62,147.9,-1.51,1.36
Simao,0,CN,1555979700,41,22.76,100.79,20.13,0.25
,,,,,,,,
Avera,1,US,1555979335,64,33.19,-82.53,22.78,1.38
Progreso,40,UY,1555978942,62,-34.68,-56.22,16.67,2.6
Ningxiang,75,CN,1555977600,93,28.28,112.55,19,2
Lahijan,90,IR,1555977600,87,37.21,50,8,6.2
Muzhi,38,RU,1555979701,82,65.4,64.7,0.63,6.28
Pisco,75,PE,1555978610,88,-13.71,-76.2,22.78,1.5
Bathsheba,20,BB,1555977600,69,13.22,-59.52,26,4.1
Geraldton,75,CA,1555977600,31,49.72,-86.95,8,5.1
Araceli,61,PH,1555979701,64,10.55,119.99,29.68,3.49
Black River,20,JM,1555979495,78,18.03,-77.85,27,3.6
